Date,VacantHousingUnits_1
2000-04-01,1946
2000-07-01,1856
2000-10-01,1728
2001-01-01,1786
2001-04-01,1827
2001-07-01,1849
2001-10-01,1842
2002-01-01,1786
2002-04-01,1772
2002-07-01,1793
2002-10-01,1952
2003-01-01,2002
2003-04-01,2060
2003-07-01,1963
2003-10-01,1977
2004-01-01,2049
2004-04-01,1983
2004-07-01,1976
2004-10-01,1940
2005-01-01,1996
2005-04-01,1971
2005-07-01,1824
2005-10-01,1846
2006-01-01,1856
2006-04-01,1871
2006-07-01,1873
2006-10-01,1920
2007-01-01,1997
2007-04-01,2044
2007-07-01,1987
2007-10-01,2023
2008-01-01,2060
2008-04-01,2147
2008-07-01,2032
2008-10-01,2070
2009-01-01,2133
2009-04-01,2009
2009-07-01,2071
2009-10-01,2135
2010-01-01,2225
2010-04-01,2155
2010-07-01,2277
2010-10-01,2399
2011-01-01,2241
2011-04-01,2312
2011-07-01,2332
2011-10-01,2187
2012-01-01,2199
2012-04-01,2413
2012-07-01,2271
2012-10-01,2257
2013-01-01,2306
2013-04-01,2461
2013-07-01,2415
2013-10-01,2388
2014-01-01,2299
2014-04-01,2444
2014-07-01,2300
2014-10-01,1942
2015-01-01,1906
2015-04-01,2044
2015-07-01,2093
2015-10-01,2033
2016-01-01,2093
2016-04-01,2085
2016-07-01,2054
2016-10-01,2181
2017-01-01,2077
2017-04-01,2224
2017-07-01,2243
2017-10-01,2186
2018-01-01,2239
2018-04-01,2102
2018-07-01,2098
2018-10-01,2017
2019-01-01,2071
2019-04-01,2190
2019-07-01,2217
2019-10-01,2155
2020-01-01,2093
2020-04-01,1918
2020-07-01,1860
2020-10-01,2072
2021-01-01,1974
2021-04-01,1976
2021-07-01,2035.0
2021-10-01,2052.0
2022-01-01,2093.0
2022-04-01,2274.0
2022-07-01,2121.0
2022-10-01,2015.0
2023-01-01,2152.0
2023-04-01,2008.0
2023-07-01,1999.0
2023-10-01,1906.0
2024-01-01,2138.0
2024-04-01,2066.0
2024-07-01,1879.0
2024-10-01,1955.0
2025-01-01,2056.0
