Date,VacantHousingUnits_2
2000-04-01,5491
2000-07-01,5135
2000-10-01,5139
2001-01-01,5554
2001-04-01,5400
2001-07-01,5176
2001-10-01,5328
2002-01-01,5423
2002-04-01,5347
2002-07-01,5265
2002-10-01,5486
2003-01-01,5724
2003-04-01,5762
2003-07-01,5631
2003-10-01,5690
2004-01-01,6006
2004-04-01,5886
2004-07-01,5739
2004-10-01,5732
2005-01-01,5978
2005-04-01,5875
2005-07-01,5479
2005-10-01,5682
2006-01-01,5896
2006-04-01,5845
2006-07-01,5768
2006-10-01,5844
2007-01-01,6225
2007-04-01,6148
2007-07-01,6225
2007-10-01,6346
2008-01-01,6487
2008-04-01,6563
2008-07-01,6464
2008-10-01,6857
2009-01-01,6987
2009-04-01,6712
2009-07-01,6643
2009-10-01,6832
2010-01-01,7169
2010-04-01,7150
2010-07-01,7120
2010-10-01,7296
2011-01-01,7431
2011-04-01,7346
2011-07-01,7161
2011-10-01,7122
2012-01-01,7633
2012-04-01,7613
2012-07-01,7191
2012-10-01,7303
2013-01-01,7617
2013-04-01,7513
2013-07-01,7315
2013-10-01,7392
2014-01-01,7587
2014-04-01,7758
2014-07-01,7636
2014-10-01,7126
2015-01-01,7230
2015-04-01,7163
2015-07-01,7166
2015-10-01,7352
2016-01-01,7605
2016-04-01,7337
2016-07-01,7157
2016-10-01,7368
2017-01-01,7306
2017-04-01,7484
2017-07-01,7437
2017-10-01,7345
2018-01-01,7662
2018-04-01,7543
2018-07-01,7463
2018-10-01,7166
2019-01-01,7424
2019-04-01,7695
2019-07-01,7625
2019-10-01,7289
2020-01-01,7476
2020-04-01,6258
2020-07-01,6080
2020-10-01,6929
2021-01-01,6988.0
2021-04-01,7047
2021-07-01,7019.0
2021-10-01,6912.0
2022-01-01,6999.0
2022-04-01,7242.0
2022-07-01,7158.0
2022-10-01,6673.0
2023-01-01,6929.0
2023-04-01,6808.0
2023-07-01,6693.0
2023-10-01,6409.0
2024-01-01,6899.0
2024-04-01,6764.0
2024-07-01,6225.0
2024-10-01,6577.0
2025-01-01,6684.0
