Date,MedianListingPriceperSquareFeet
2016-07-01,127.0
2016-08-01,126.0
2016-09-01,126.0
2016-10-01,127.0
2016-11-01,126.0
2016-12-01,125.0
2017-01-01,126.0
2017-02-01,128.0
2017-03-01,130.0
2017-04-01,132.0
2017-05-01,133.0
2017-06-01,134.0
2017-07-01,134.0
2017-08-01,133.0
2017-09-01,133.0
2017-10-01,134.0
2017-11-01,133.0
2017-12-01,133.0
2018-01-01,134.0
2018-02-01,136.0
2018-03-01,139.0
2018-04-01,142.0
2018-05-01,144.0
2018-06-01,144.0
2018-07-01,144.0
2018-08-01,143.0
2018-09-01,144.0
2018-10-01,144.0
2018-11-01,144.0
2018-12-01,144.0
2019-01-01,144.0
2019-02-01,147.0
2019-03-01,149.0
2019-04-01,151.0
2019-05-01,153.0
2019-06-01,152.0
2019-07-01,152.0
2019-08-01,151.0
2019-09-01,150.0
2019-10-01,150.0
2019-11-01,150.0
2019-12-01,149.0
2020-01-01,149.0
2020-02-01,151.0
2020-03-01,155.0
2020-04-01,155.0
2020-05-01,159.0
2020-06-01,163.0
2020-07-01,166.0
2020-08-01,168.0
2020-09-01,171.0
2020-10-01,173.0
2020-11-01,174.0
2020-12-01,173.0
2021-01-01,175.0
2021-02-01,181.0
2021-03-01,186.0
2021-04-01,192.0
2021-05-01,196.0
2021-06-01,197.0
2021-07-01,196.0
2021-08-01,196.0
2021-09-01,197.0
2021-10-01,197.0
2021-11-01,196.0
2021-12-01,195.0
2022-01-01,197.0
2022-02-01,205.0
2022-03-01,213.0
2022-04-01,219.0
2022-05-01,225.0
2022-06-01,227.0
2022-07-01,226.0
2022-08-01,222.0
2022-09-01,220.0
2022-10-01,218.0
2022-11-01,215.0
2022-12-01,213.0
2023-01-01,214.0
2023-02-01,217.0
2023-03-01,220.0
2023-04-01,222.0
2023-05-01,225.0
2023-06-01,225.0
2023-07-01,224.0
2023-08-01,223.0
2023-09-01,222.0
2023-10-01,221.0
2023-11-01,221.0
2023-12-01,219.0
2024-01-01,221.0
2024-02-01,224.0
2024-03-01,228.0
2024-04-01,230.0
2024-05-01,233.0
2024-06-01,232.0
2024-07-01,230.0
2024-08-01,228.0
2024-09-01,227.0
2024-10-01,226.0
2024-11-01,224.0
2024-12-01,222.0
2025-01-01,224.0
2025-02-01,227.0
2025-03-01,231.0
2025-04-01,233.0
