Date,TotalShipmentsofNewHomes
1959-01-01,113.0
1959-02-01,115.0
1959-03-01,126.0
1959-04-01,113.0
1959-05-01,120.0
1959-06-01,123.0
1959-07-01,130.0
1959-08-01,110.0
1959-09-01,122.0
1959-10-01,123.0
1959-11-01,123.0
1959-12-01,132.0
1960-01-01,114.0
1960-02-01,116.0
1960-03-01,104.0
1960-04-01,96.0
1960-05-01,111.0
1960-06-01,106.0
1960-07-01,101.0
1960-08-01,109.0
1960-09-01,105.0
1960-10-01,95.0
1960-11-01,88.0
1960-12-01,95.0
1961-01-01,92.0
1961-02-01,87.0
1961-03-01,88.0
1961-04-01,91.0
1961-05-01,87.0
1961-06-01,86.0
1961-07-01,87.0
1961-08-01,88.0
1961-09-01,88.0
1961-10-01,96.0
1961-11-01,98.0
1961-12-01,102.0
1962-01-01,106.0
1962-02-01,111.0
1962-03-01,113.0
1962-04-01,118.0
1962-05-01,117.0
1962-06-01,119.0
1962-07-01,117.0
1962-08-01,114.0
1962-09-01,123.0
1962-10-01,124.0
1962-11-01,126.0
1962-12-01,126.0
1963-01-01,135.0
1963-02-01,141.0
1963-03-01,138.0
1963-04-01,149.0
1963-05-01,146.0
1963-06-01,150.0
1963-07-01,154.0
1963-08-01,151.0
1963-09-01,153.0
1963-10-01,162.0
1963-11-01,164.0
1963-12-01,167.0
1964-01-01,170.0
1964-02-01,177.0
1964-03-01,187.0
1964-04-01,184.0
1964-05-01,193.0
1964-06-01,193.0
1964-07-01,198.0
1964-08-01,198.0
1964-09-01,199.0
1964-10-01,195.0
1964-11-01,196.0
1964-12-01,189.0
1965-01-01,213.0
1965-02-01,201.0
1965-03-01,208.0
1965-04-01,200.0
1965-05-01,208.0
1965-06-01,215.0
1965-07-01,217.0
1965-08-01,224.0
1965-09-01,225.0
1965-10-01,224.0
1965-11-01,238.0
1965-12-01,217.0
1966-01-01,192.0
1966-02-01,202.0
1966-03-01,232.0
1966-04-01,222.0
1966-05-01,221.0
1966-06-01,226.0
1966-07-01,223.0
1966-08-01,223.0
1966-09-01,211.0
1966-10-01,208.0
1966-11-01,227.0
1966-12-01,207.0
1967-01-01,198.0
1967-02-01,205.0
1967-03-01,211.0
1967-04-01,231.0
1967-05-01,233.0
1967-06-01,240.0
1967-07-01,239.0
1967-08-01,251.0
1967-09-01,258.0
1967-10-01,254.0
1967-11-01,272.0
1967-12-01,287.0
1968-01-01,293.0
1968-02-01,295.0
1968-03-01,299.0
1968-04-01,299.0
1968-05-01,301.0
1968-06-01,303.0
1968-07-01,308.0
1968-08-01,319.0
1968-09-01,317.0
1968-10-01,338.0
1968-11-01,364.0
1968-12-01,372.0
1969-01-01,422.0
1969-02-01,383.0
1969-03-01,412.0
1969-04-01,395.0
1969-05-01,401.0
1969-06-01,403.0
1969-07-01,407.0
1969-08-01,406.0
1969-09-01,410.0
1969-10-01,423.0
1969-11-01,451.0
1969-12-01,399.0
1970-01-01,394.0
1970-02-01,354.0
1970-03-01,372.0
1970-04-01,438.0
1970-05-01,392.0
1970-06-01,377.0
1970-07-01,414.0
1970-08-01,408.0
1970-09-01,415.0
1970-10-01,415.0
1970-11-01,406.0
1970-12-01,414.0
1971-01-01,416.0
1971-02-01,422.0
1971-03-01,432.0
1971-04-01,460.0
1971-05-01,486.0
1971-06-01,506.0
1971-07-01,526.0
1971-08-01,534.0
1971-09-01,550.0
1971-10-01,543.0
1971-11-01,504.0
1971-12-01,526.0
1972-01-01,565.0
1972-02-01,576.0
1972-03-01,578.0
1972-04-01,590.0
1972-05-01,563.0
1972-06-01,570.0
1972-07-01,567.0
1972-08-01,547.0
1972-09-01,514.0
1972-10-01,594.0
1972-11-01,661.0
1972-12-01,635.0
1973-01-01,668.0
1973-02-01,651.0
1973-03-01,686.0
1973-04-01,637.0
1973-05-01,604.0
1973-06-01,583.0
1973-07-01,561.0
1973-08-01,543.0
1973-09-01,526.0
1973-10-01,500.0
1973-11-01,526.0
1973-12-01,484.0
1974-01-01,454.0
1974-02-01,414.0
1974-03-01,410.0
1974-04-01,386.0
1974-05-01,382.0
1974-06-01,384.0
1974-07-01,340.0
1974-08-01,313.0
1974-09-01,280.0
1974-10-01,246.0
1974-11-01,229.0
1974-12-01,217.0
1975-01-01,191.0
1975-02-01,220.0
1975-03-01,195.0
1975-04-01,192.0
1975-05-01,203.0
1975-06-01,201.0
1975-07-01,213.0
1975-08-01,220.0
1975-09-01,223.0
1975-10-01,235.0
1975-11-01,242.0
1975-12-01,227.0
1976-01-01,260.0
1976-02-01,281.0
1976-03-01,244.0
1976-04-01,238.0
1976-05-01,246.0
1976-06-01,231.0
1976-07-01,221.0
1976-08-01,242.0
1976-09-01,248.0
1976-10-01,263.0
1976-11-01,247.0
1976-12-01,248.0
1977-01-01,251.0
1977-02-01,256.0
1977-03-01,270.0
1977-04-01,231.0
1977-05-01,239.0
1977-06-01,254.0
1977-07-01,225.0
1977-08-01,277.0
1977-09-01,286.0
1977-10-01,291.0
1977-11-01,292.0
1977-12-01,301.0
1978-01-01,293.0
1978-02-01,275.0
1978-03-01,277.0
1978-04-01,267.0
1978-05-01,276.0
1978-06-01,275.0
1978-07-01,263.0
1978-08-01,268.0
1978-09-01,276.0
1978-10-01,275.0
1978-11-01,278.0
1978-12-01,296.0
1979-01-01,280.0
1979-02-01,274.0
1979-03-01,274.0
1979-04-01,286.0
1979-05-01,286.0
1979-06-01,295.0
1979-07-01,291.0
1979-08-01,288.0
1979-09-01,269.0
1979-10-01,279.0
1979-11-01,255.0
1979-12-01,232.0
1980-01-01,269.0
1980-02-01,267.0
1980-03-01,226.0
1980-04-01,202.0
1980-05-01,169.0
1980-06-01,169.0
1980-07-01,204.0
1980-08-01,213.0
1980-09-01,235.0
1980-10-01,241.0
1980-11-01,244.0
1980-12-01,246.0
1981-01-01,244.0
1981-02-01,248.0
